host_response_time,host_is_superhost,host_identity_verified,property_type,room_type,instant_bookable,host_response_rate,host_acceptance_rate,capacity,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,minimum_nights,maximum_nights,reviews_per_month
within an hour,t,t,Tiny home,Entire home/apt,f,1,1,2,1000,4.96,4.96,4.99,4.96,4.99,4.87,4.86,3,45,1.78
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,5,2447,4.6,4.4,4.2,5,5,4.8,4.6,1,1125,0.11
within an hour,t,f,Entire rental unit,Entire home/apt,f,1,1,7,1000,4.8,4.87,4.93,4.93,4.93,4.73,4.8,2,180,0.34
within a day,f,t,Entire cabin,Entire home/apt,f,1,1,1,392,4.78,5,5,4.89,4.89,4.89,4.89,1,1125,0.21
a few days or more,f,f,Private room in condo,Private room,t,0,1,2,400,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1,1125,1.1
within a few hours,f,f,Entire serviced apartment,Entire home/apt,f,0.8,1,2,690,4.72,4.79,4.86,4.72,4.93,4.76,4.86,1,30,0.66
within a day,f,t,Private room in home,Private room,t,1,0.88,1,225,4.78,5,5,5,5,4.56,4.89,3,1125,0.21
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,2,650,4.81,4.94,4.88,4.92,4.92,4.98,4.73,3,1125,1.1
within an hour,f,t,Entire home,Entire home/apt,t,0.86,1,14,6082,4.32,4.21,4.18,4.65,4.21,4.97,4.47,1,1125,0.9
within a day,t,t,Entire condo,Entire home/apt,f,0.78,0.93,2,686,4.81,4.85,4.9,4.74,4.82,4.76,4.79,2,90,1.84
within an hour,f,t,Private room in condo,Private room,t,1,1,1,460,4.69,4.8,4.72,4.9,4.87,4.96,4.71,1,1125,3.38
within an hour,f,t,Entire loft,Entire home/apt,f,1,1,2,499,4.63,4.67,4.66,4.84,4.86,4.86,4.6,1,1125,3.86
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,1,6,1064,4.91,4.9,4.94,4.84,4.97,4.59,4.9,1,30,1.1
within an hour,t,t,Entire condo,Entire home/apt,t,1,0.98,5,2386,4.92,4.94,4.72,4.92,4.94,4.97,4.94,2,65,0.82
within an hour,f,t,Entire rental unit,Entire home/apt,f,1,1,6,1263,4.69,4.76,4.65,4.85,4.79,4.94,4.71,1,1125,1.1
within a few hours,f,t,Entire loft,Entire home/apt,t,1,1,2,440,5,5,5,5,5,5,5,1,15,1
within an hour,f,t,Entire loft,Entire home/apt,t,1,1,2,2064,4.69,4.88,4.75,4.85,4.92,4.92,4.63,2,1125,1.19
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,0.98,6,1380,4.98,4.96,4.97,4.98,4.99,4.98,4.95,2,1125,2.17
a few days or more,f,f,Entire rental unit,Entire home/apt,f,0,0,4,677,3.5,3.67,4.17,4.33,4.17,4.17,3.67,1,1125,0.14
