host_response_time,host_is_superhost,host_identity_verified,property_type,room_type,instant_bookable,host_response_rate,host_acceptance_rate,capacity,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,minimum_nights,maximum_nights,reviews_per_month
within an hour,f,t,Private room in loft,Private room,t,1,1,2,924,4.64,4.76,4.67,4.83,4.79,4.73,4.61,1,1125,5.63
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,3,2065.91,4.68,4.73,4.7,4.89,4.89,4.82,4.45,3,365,0.85
within an hour,f,t,Entire rental unit,Entire home/apt,t,0.97,1,10,2079.77,4.59,4.65,4.57,4.78,4.74,4.97,4.7,1,1125,3.49
within an hour,f,t,Entire rental unit,Entire home/apt,t,0.97,1,12,1550.01,4.57,4.67,4.46,4.74,4.77,4.95,4.61,1,1125,3.44
within an hour,t,t,Entire rental unit,Entire home/apt,f,1,0.98,4,2269.19,4.98,4.94,4.98,5,5,4.88,4.91,2,30,1.56
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,1,1056.44,4.71,4.76,4.71,4.71,4.76,4.43,4.62,2,365,0.42
Desconocido,f,t,Entire rental unit,Entire home/apt,t,1,0.9,4,1452.99,4.86,4.91,4.83,4.85,4.86,5,4.86,1,120,1.27
within an hour,t,t,Entire rental unit,Entire home/apt,t,1,1,3,1948.1,4.91,4.96,4.48,4.96,4.96,4.96,4.83,3,365,0.45
within an hour,f,t,Entire rental unit,Entire home/apt,t,1,1,2,1016.4,4.89,4.91,4.89,4.7,4.83,4.87,4.73,2,30,2
Desconocido,Desconocido,t,Private room in home,Private room,f,1,0.9,2,770,5,5,5,5,5,4.5,5,1,365,0.04
Desconocido,Desconocido,t,Private room in home,Private room,f,1,0.9,2,616,4.57,4.57,4.57,4.86,4.86,4.43,4.57,1,365,0.14
Desconocido,Desconocido,t,Private room in home,Private room,f,1,0.9,4,1001,5,5,5,5,5,5,5,1,365,0.02
Desconocido,Desconocido,t,Private room in home,Private room,f,1,0.9,2,616,4.7,4.2,4.8,4.9,4.9,4.6,4.9,1,365,0.2
Desconocido,Desconocido,t,Private room in home,Private room,f,1,0.9,2,924,4.86,4.86,5,5,4.86,4.57,4.57,1,365,0.14
